"relative_path","method","cutoff_bytes","hash_before","hash_after","pass","detail"
"data\execution_costs\observer_go1_20260723_094459.stderr.log","SHARED_READ_ZERO_LENGTH","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True",""
"data\execution_costs\observer_go1_20260723_094459.stdout.log","SHARED_READ_ZERO_LENGTH","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True",""
"data\execution_costs\quotes_go1_20260723_094459.csv","SHARED_READ_FIXED_NEWLINE_PREFIX","553831814","F9C39D3818AECD12EDFD74FFE354BF7024744FA787513F72EFBF8C6EC49A066D","F9C39D3818AECD12EDFD74FFE354BF7024744FA787513F72EFBF8C6EC49A066D","True",""
"data\execution_costs\status.json","ATOMIC_JSON_READ","1617","246C70E6E6AB5225E0387E2282DE9C16E49C3A4CC73D3A9E51CF7BF0F7E3D02B","246C70E6E6AB5225E0387E2282DE9C16E49C3A4CC73D3A9E51CF7BF0F7E3D02B","True","JSON_PARSE_PASS"
"data\latency\webapp_brushup.stderr.log","SHARED_READ_FIXED_NEWLINE_PREFIX","59482216","DB42702C0626C96577814551F59B613D4E0CB718EB516BD6EA0174A21683DFDF","DB42702C0626C96577814551F59B613D4E0CB718EB516BD6EA0174A21683DFDF","True",""
"data\latency\webapp_brushup.stdout.log","SHARED_READ_FIXED_NEWLINE_PREFIX","1495","278987F82C03017EDFF86B168F5F9A7EB27E2F77EBA50C56AFD52056AC216123","278987F82C03017EDFF86B168F5F9A7EB27E2F77EBA50C56AFD52056AC216123","True",""
"data\monitor\anomalies_20260723.jsonl","SHARED_READ_FIXED_NEWLINE_PREFIX","7970","04B2193FE86F7409A2E88C0215743EB9FC82A0BA999B07A6354B3997BE0CD23D","04B2193FE86F7409A2E88C0215743EB9FC82A0BA999B07A6354B3997BE0CD23D","True",""
