relative_path,change,size_t0,size_t1,mtime_utc_t0,mtime_utc_t1,sample_start_utc,sample_end_utc
data\execution_costs\quotes_go1_20260723_094459.csv,CHANGED,310965315,311335460,2026-07-23T06:25:18.2699823Z,2026-07-23T06:25:39.3339603Z,2026-07-23T06:25:18.3437285Z,2026-07-23T06:25:39.3990600Z
data\execution_costs\status.json,CHANGED,1559,1560,2026-07-23T06:25:14.7772418Z,2026-07-23T06:25:34.7932772Z,2026-07-23T06:25:18.3437285Z,2026-07-23T06:25:39.3990600Z
data\latency\webapp_brushup.stderr.log,CHANGED,24144321,24191393,2026-07-23T06:25:18.3046756Z,2026-07-23T06:25:39.3232152Z,2026-07-23T06:25:18.3437285Z,2026-07-23T06:25:39.3990600Z
