"relative_path","method","cutoff_bytes","snapshot_sha256","prefix_hash_before","prefix_hash_after","captured_utc","json_updated_at","validation"
"data\execution_costs\observer_go1_20260723_094459.stderr.log","SHARED_READ_ZERO_LENGTH","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-23T10:33:52.2336867Z","","PREFIX_STABLE_PASS"
"data\execution_costs\observer_go1_20260723_094459.stdout.log","SHARED_READ_ZERO_LENGTH","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-23T10:33:52.2739030Z","","PREFIX_STABLE_PASS"
"data\execution_costs\quotes_go1_20260723_094459.csv","SHARED_READ_FIXED_NEWLINE_PREFIX","534607510","25AD1D5E2097EEEB6A5A4EDDBE67CFE724E2879DBB667A1F84457E8526E86857","25AD1D5E2097EEEB6A5A4EDDBE67CFE724E2879DBB667A1F84457E8526E86857","25AD1D5E2097EEEB6A5A4EDDBE67CFE724E2879DBB667A1F84457E8526E86857","2026-07-23T10:33:52.2855495Z","","PREFIX_STABLE_PASS"
"data\execution_costs\status.json","ATOMIC_JSON_SNAPSHOT","1588","1E7D5C62770A91B5EEDC3ABBBF5C064C1A4FF83BED069DEC3BF7CD4DFE75E391","1E7D5C62770A91B5EEDC3ABBBF5C064C1A4FF83BED069DEC3BF7CD4DFE75E391","1E7D5C62770A91B5EEDC3ABBBF5C064C1A4FF83BED069DEC3BF7CD4DFE75E391","2026-07-23T10:34:01.1031990Z","07/23/2026 19:33:53","JSON_PARSE_PASS"
"data\latency\webapp_brushup.stderr.log","SHARED_READ_FIXED_NEWLINE_PREFIX","58737640","4968A01201475C7FF7B655432CD761A31695380BFFD0AC2F8BF7EB8897684414","4968A01201475C7FF7B655432CD761A31695380BFFD0AC2F8BF7EB8897684414","4968A01201475C7FF7B655432CD761A31695380BFFD0AC2F8BF7EB8897684414","2026-07-23T10:34:01.1411336Z","","PREFIX_STABLE_PASS"
"data\latency\webapp_brushup.stdout.log","SHARED_READ_FIXED_NEWLINE_PREFIX","1306","458EFF7DA2C545E6760009C335C603FC69B64D1CF902F689D57FE7256E19C788","458EFF7DA2C545E6760009C335C603FC69B64D1CF902F689D57FE7256E19C788","458EFF7DA2C545E6760009C335C603FC69B64D1CF902F689D57FE7256E19C788","2026-07-23T10:34:01.9385079Z","","PREFIX_STABLE_PASS"
"data\monitor\anomalies_20260723.jsonl","SHARED_READ_FIXED_NEWLINE_PREFIX","7970","04B2193FE86F7409A2E88C0215743EB9FC82A0BA999B07A6354B3997BE0CD23D","04B2193FE86F7409A2E88C0215743EB9FC82A0BA999B07A6354B3997BE0CD23D","04B2193FE86F7409A2E88C0215743EB9FC82A0BA999B07A6354B3997BE0CD23D","2026-07-23T10:34:01.9478006Z","","PREFIX_STABLE_PASS"
