"relative_path","method","cutoff_bytes","hash_before","hash_after","pass","detail"
"data\execution_costs\observer_go1_20260723_094459.stderr.log","SHARED_READ_ZERO_LENGTH","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","LOCKED_BY_LIVE_PROCESS; CAPTURE_AS_ACTIVE_RUNTIME"
"data\execution_costs\observer_go1_20260723_094459.stdout.log","SHARED_READ_ZERO_LENGTH","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","LOCKED_BY_LIVE_PROCESS; CAPTURE_AS_ACTIVE_RUNTIME"
"data\execution_costs\quotes_go1_20260723_094459.csv","SHARED_READ_FIXED_NEWLINE_PREFIX","472991183","DC17975FB65CD91A192BB6934EA6E4A8D37BAD4A8F4C21AFAF3170E1CA3C0148","DC17975FB65CD91A192BB6934EA6E4A8D37BAD4A8F4C21AFAF3170E1CA3C0148","True","LOCKED_BY_LIVE_PROCESS; CAPTURE_AS_ACTIVE_RUNTIME"
"data\execution_costs\status.json","ATOMIC_JSON_READ","1557","3B96142E4C96446C92A7DA775287A95EAA06FB87B4759B4F731E9A85AD21B228","3B96142E4C96446C92A7DA775287A95EAA06FB87B4759B4F731E9A85AD21B228","True","JSON_PARSE_PASS"
"data\latency\webapp_brushup.stderr.log","SHARED_READ_FIXED_NEWLINE_PREFIX","50309729","68A07CEE9949D7906D0B338871C364D20A027FD6033C5636277EA9E83B848D57","68A07CEE9949D7906D0B338871C364D20A027FD6033C5636277EA9E83B848D57","True","LOCKED_BY_LIVE_PROCESS; CAPTURE_AS_ACTIVE_RUNTIME"
"data\latency\webapp_brushup.stdout.log","SHARED_READ_FIXED_NEWLINE_PREFIX","1117","47B6C773F525D4E2708BF0385F2631A2C288DBFE4A4C345B8B99D65D934DBCA1","47B6C773F525D4E2708BF0385F2631A2C288DBFE4A4C345B8B99D65D934DBCA1","True","LOCKED_BY_LIVE_PROCESS; CAPTURE_AS_ACTIVE_RUNTIME"
"data\monitor\anomalies_20260723.jsonl","SHARED_READ_FIXED_NEWLINE_PREFIX","7970","04B2193FE86F7409A2E88C0215743EB9FC82A0BA999B07A6354B3997BE0CD23D","04B2193FE86F7409A2E88C0215743EB9FC82A0BA999B07A6354B3997BE0CD23D","True","1M_HEALTH_MONITOR_APPEND_JSONL; CAPTURE_AS_ACTIVE_RUNTIME"
