native_timeframe,direction_class,hypothesis,state,window_sec,horizon_sec,native_agreement,n,match_pct,signed_mean_bps,signed_median_bps
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,300,STALE,69,55.072463768115945,0.9687682834782607,0.56256241
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,600,MISSING,315,54.92063492063492,3.0570307068888893,1.30558529
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,600,NATIVE_STALLED,7,57.142857142857146,3.6090706914285713,1.90174228
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,600,OPPOSITE_DIRECTION,145,51.03448275862069,-1.7944973747586197,0.04695299
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,600,SAME_DIRECTION,168,39.285714285714285,-2.370739936428571,-1.364030665
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,600,STALE,64,48.4375,-1.2207528396874998,-0.569371385
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,60,MISSING,148,60.13513513513514,0.699527202432432,0.5658478849999999
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,60,NATIVE_STALLED,9,11.11111111111111,0.10108393333333338,-1.49238186
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,60,OPPOSITE_DIRECTION,68,51.470588235294116,0.005478670588235231,0.054645294999999997
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,60,SAME_DIRECTION,116,52.58620689655172,-0.1988958269827586,0.093570915
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,60,STALE,49,46.93877551020408,0.08449477857142852,0.0
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,180,MISSING,146,60.95890410958904,1.6512433435616434,1.39845977
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,180,NATIVE_STALLED,8,37.5,-0.20526376875000008,-2.418177085
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,180,OPPOSITE_DIRECTION,68,42.64705882352941,-2.3517503988235298,-0.257455495
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,180,SAME_DIRECTION,113,48.67256637168141,-0.6114399922123893,-0.09365254
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,180,STALE,49,53.06122448979592,0.8853678834693876,0.46887161
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,300,MISSING,146,54.10958904109589,1.6788659569178077,0.8963892099999999
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,300,NATIVE_STALLED,7,100.0,1.8348006571428572,0.57501364
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,300,OPPOSITE_DIRECTION,65,44.61538461538461,-2.7884244907692315,-1.31027867
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,300,SAME_DIRECTION,112,38.392857142857146,-1.5773476836607139,-1.4681166650000002
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,300,STALE,46,52.17391304347826,-0.22578837804347818,0.124717145
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,600,MISSING,143,61.53846153846154,3.622414771958041,2.02362857
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,600,NATIVE_STALLED,7,42.857142857142854,-0.9021472700000001,-4.44445135
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,600,OPPOSITE_DIRECTION,64,48.4375,-5.277893973593751,-0.64776382
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,600,SAME_DIRECTION,111,42.34234234234234,-1.9859877622522515,-1.09686063
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,600,STALE,41,51.21951219512195,-2.1396669217073168,0.23401447
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,60,MISSING,122,47.540983606557376,0.2768232902459014,-0.038561780000000004
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,60,NATIVE_STALLED,2,0.0,-5.965500755,-5.965500755
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,60,OPPOSITE_DIRECTION,38,50.0,-0.10237490973684214,0.101256675
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,60,SAME_DIRECTION,88,44.31818181818182,-0.12112978056818179,-0.18548158
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,60,STALE,35,42.857142857142854,0.12537786228571424,0.0
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,180,MISSING,122,55.73770491803279,1.0727473408196722,0.792783615
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,180,NATIVE_STALLED,2,50.0,-5.295618785,-5.295618785
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,180,OPPOSITE_DIRECTION,38,44.73684210526316,-2.034478832631579,-0.40548589999999995
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,180,SAME_DIRECTION,86,52.325581395348834,0.11673712906976721,0.25724280499999996
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,180,STALE,35,40.0,-0.07113641314285712,-0.42231645
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,300,MISSING,122,58.19672131147541,1.5534390206557371,0.921330655
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,300,NATIVE_STALLED,2,50.0,-2.91967844,-2.91967844
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,300,OPPOSITE_DIRECTION,38,47.36842105263158,-3.7828099642105273,-0.600352895
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,300,SAME_DIRECTION,80,41.25,-1.331884256375,-0.8841851550000001
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,300,STALE,35,34.285714285714285,-0.3250935208571429,-0.46798076
