state,hypothesis,window_sec,horizon_sec,new_n,new_match_pct,new_signed_median_bps,old_n,old_match_pct,old_signed_median_bps,match_diff_pp,same_median_sign,same_accuracy_side,comparison_eligible
BUY_TRAPPED,TRAPPED_REVERSAL,180,180,59,49.152542372881356,-0.03112748,91,47.252747252747255,-0.42155025,1.899795120134101,True,True,True
BUY_TRAPPED,TRAPPED_REVERSAL,180,300,57,50.87719298245614,0.26110503,88,42.04545454545455,-1.0801278399999998,8.83173843700159,False,False,True
BUY_TRAPPED,TRAPPED_REVERSAL,180,600,54,50.0,0.358470155,84,41.666666666666664,-1.768593315,8.333333333333336,False,False,True
BUY_TRAPPED,TRAPPED_REVERSAL,300,60,53,56.60377358490566,0.85779344,54,35.18518518518518,-0.84839893,21.418588399720477,False,False,True
BUY_TRAPPED,TRAPPED_REVERSAL,300,180,50,56.0,0.70011819,54,42.592592592592595,-1.348248065,13.407407407407405,False,False,True
BUY_TRAPPED,TRAPPED_REVERSAL,300,300,47,57.4468085106383,1.90520214,49,36.734693877551024,-1.17455021,20.712114633087275,False,False,True
BUY_TRAPPED,TRAPPED_REVERSAL,300,600,44,40.90909090909091,-1.5354227200000001,47,38.297872340425535,-1.72908302,2.6112185686653717,True,True,True
BUY_TRAPPED,TRAPPED_REVERSAL,900,60,3,0.0,-1.9151082,2,100.0,2.0600659049999996,-100.0,False,False,False
BUY_TRAPPED,TRAPPED_REVERSAL,900,180,3,0.0,-5.54454712,2,100.0,0.544180365,-100.0,False,False,False
BUY_TRAPPED,TRAPPED_REVERSAL,900,300,3,0.0,-15.50401962,1,100.0,1.52108205,-100.0,False,False,False
BUY_TRAPPED,TRAPPED_REVERSAL,900,600,3,0.0,-29.1436223,1,100.0,3.96083741,-100.0,False,False,False
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,30,60,806,54.71464019851117,0.232274945,1284,49.454828660436135,-0.015058325000000001,5.259811538075034,False,False,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,30,180,776,55.79896907216495,0.563716375,1267,50.90765588003157,0.12142793,4.8913131921333814,True,True,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,30,300,749,55.14018691588785,0.93626923,1248,51.6025641025641,0.33825801499999997,3.5376228133237504,True,True,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,30,600,714,52.52100840336134,0.5292357000000001,1222,50.08183306055646,0.01506678,2.43917534280488,True,True,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,60,60,624,51.92307692307692,0.02314104,940,49.148936170212764,-0.015070725,2.774140752864156,False,False,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,60,180,601,51.41430948419301,0.12334829,928,46.44396551724138,-0.54374877,4.970343966951631,False,False,True
