source_dataset,direction_class,hypothesis,state,horizon_sec,n,window_count,mfe_p25_bps,mfe_median_bps,mfe_p75_bps,mfe_p95_bps,mae_p05_bps,mae_p25_bps,mae_median_bps,mae_p75_bps,threshold_p25_bps,threshold_median_bps,threshold_p75_bps,reached_20usd_n,reached_20usd_pct
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,2488,6,0.2481534975,1.37193031,3.4164904425,8.3757371,-7.0859200255,-2.9122289675,-0.976895605,-0.0155750025,3.076783438295569,3.1085344814187352,3.120715111869309,690,27.733118971061092
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,2433,6,0.80204707,2.99319557,6.37401532,14.038703760000018,-12.824594874,-5.55765719,-2.48216235,-0.58086212,3.0765917516575136,3.1082977562752645,3.120747980876056,1191,48.95191122071517
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,2383,6,1.3353747,3.80990421,8.02684884,16.84089431,-17.027798050999998,-7.07308185,-3.40920608,-1.1257211850000002,3.0765491580535818,3.108181822420248,3.120752850425233,1336,56.063785144775494
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,600,2302,6,2.31005245,5.278801755,10.87786557,27.15975658899999,-25.70514739,-9.94556479,-4.957918705,-1.9134622675,3.0768721901920664,3.108003108003108,3.12069198224584,1543,67.02867072111208
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,430,5,0.28395790249999997,1.784633245,3.95061552,9.322514185499978,-8.461285585999999,-3.3115786775,-1.648038905,-0.40512496,3.0789480951719983,3.1088703067975834,3.1200031342386123,138,32.093023255813954
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,414,5,1.14035839,3.064485725,6.79968684,16.57872494049999,-17.557084667,-7.4712472875,-3.655911175,-1.3337607275,3.0781022268530562,3.1086166200567504,3.1195383737229134,206,49.75845410628019
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,398,5,1.5121579325,3.8514197550000002,8.727012114999999,22.158423540499992,-20.4531206005,-9.2263326,-4.8735097849999995,-2.2352143449999997,3.0776439564368885,3.1086166200567504,3.1200031342386123,231,58.040201005025125
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,600,367,5,2.450637565,5.20460105,15.24850187,53.75036025200001,-32.60317259,-11.749882155,-6.72223084,-2.912462225,3.077964849641417,3.1070712280543673,3.1196162249657218,258,70.29972752043597
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,2199,6,0.01566016,1.16972745,2.9142660950000003,7.095883309999999,-5.964453478,-2.631340295,-0.80125983,-0.015587825,3.079450595235733,3.1169057852888282,3.121254494606472,501,22.78308321964529
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,2122,6,0.6578195475,2.50165677,5.26701299,14.59393984749999,-11.375910629499998,-4.7832094099999996,-2.18717192,-0.34384993,3.0804667986034575,3.117019941916226,3.1217173191316006,926,43.63807728557964
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,2067,6,0.95702932,3.27490271,7.13798172,19.488095067999996,-15.0440014,-5.9947750200000005,-3.01584563,-0.813625045,3.080778790291472,3.117124390407362,3.1217904092659285,1074,51.959361393323654
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,600,1967,6,1.543003965,4.45437045,10.286287315,24.80795315999996,-20.879824134,-9.1364724,-4.67850849,-1.61599158,3.0816640986132513,3.117547113930759,3.122255829930271,1184,60.193187595322826
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,SELL_TRAPPED,60,431,6,0.015602375,0.87492891,2.322413995,5.088584335,-5.06264382,-2.7280379200000002,-0.89097164,-0.01537526,3.080581861354222,3.117756088587922,3.119207534181297,62,14.385150812064966
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,SELL_TRAPPED,180,414,6,0.38995659,1.77327841,3.824364465,12.113891500499982,-8.63123291,-4.965378694999999,-2.29953395,-0.33858729,3.0806577824004693,3.1179164834890734,3.11937415996371,126,30.434782608695652
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,SELL_TRAPPED,300,401,6,0.83040768,2.61302916,4.5292543,14.97724581,-10.19449497,-5.6284798,-3.11507836,-0.78359069,3.080425283514642,3.1179407871865106,3.119404568056049,170,42.394014962593516
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,SELL_TRAPPED,600,370,6,1.71866392,3.80468194,7.824401875,20.728908541,-12.712806453999999,-6.592929507499999,-3.866068785,-1.5574219975,3.1061218298801547,3.1181036317351474,3.1196150086320245,217,58.648648648648646
NEW_05M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,BUY_STALLED,60,2906,5,0.01535014,0.6552136900000001,2.1247504824999996,6.1660310350000005,-7.069887725,-2.2851396674999997,-0.41490705,-0.015576092500000001,3.085522190056218,3.1168620679444765,3.1229444681932623,462,15.898141775636613
