timeframe,horizon_sec,hfm_ok_n,matched_n,same_sign_n,same_sign_pct,return_correlation,hfm_mid_median_bps,binance_median_bps,long_net_median_usd
10m,300,55,42,42,100.0,0.9993777106007099,0.2461327473091135,0.33523508,-18.694
10m,600,56,41,39,95.1219512195122,0.9988667611587771,-0.2973248187732036,-0.54568473,-21.466
5m,300,122,91,91,100.0,0.9964618944766975,-0.2763996767385368,-0.14030624,-22.246
5m,600,118,84,81,96.42857142857143,0.9987536862452284,-0.6155153432080285,-0.5848095849999999,-24.2665
