source_dataset,direction_class,hypothesis,state,window_sec,horizon_sec,jst_hour,n,match_pct,flat_pct,signed_mean_bps,signed_median_bps
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,10,37,48.648648648648646,0.0,0.10200704621621635,-0.36856282
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,11,37,64.86486486486487,0.0,2.1976913283783786,1.84348788
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,12,46,54.34782608695652,0.0,0.9333761258695653,0.53867585
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,13,15,46.666666666666664,0.0,-1.2037542079999997,-1.14683283
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,14,5,20.0,0.0,-1.240008426,-1.26593357
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,15,4,50.0,0.0,-0.1599378125,-0.07041867000000002
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,16,2,0.0,0.0,-0.58595581,-0.58595581
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,17,9,77.77777777777777,0.0,2.8205799833333334,2.71192605
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,18,19,31.57894736842105,0.0,-1.0312622468421049,-1.09668535
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,19,4,50.0,0.0,1.2109074225,1.38257283
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,20,11,45.45454545454545,0.0,-0.729554600909091,-0.46836287
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,21,42,23.80952380952381,0.0,-4.164354437619047,-3.70398832
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,22,67,40.298507462686565,0.0,-0.893040173731344,-1.96599147
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,23,96,50.0,0.0,-0.8060772614583337,-0.039212844999999996
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,0,59,42.3728813559322,1.694915254237288,-2.0885742364406776,-0.93528309
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,1,46,50.0,0.0,0.12868702565217421,0.12466406000000001
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,2,98,50.0,0.0,0.39630342989795936,-0.038134475
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,3,82,64.63414634146342,0.0,2.2470424789024395,1.47076167
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,4,57,61.40350877192982,0.0,3.7480909884210534,3.28943266
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,5,47,59.57446808510638,0.0,2.5749094848936167,1.76609256
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,6,40,45.0,0.0,0.18952541249999977,-0.79843752
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,7,30,70.0,0.0,4.093837650333334,2.2795501949999997
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,8,17,23.529411764705884,0.0,-2.1902657964705883,-2.01125053
