timeframe,context_code,horizon_sec,status,n,long_positive_n,long_positive_pct,long_net_p25_usd,long_net_median_usd,long_net_p75_usd,long_mfe_p25_usd,long_mfe_median_usd,long_mfe_p75_usd,long_mae_p25_usd,long_mae_median_usd,long_mae_p75_usd,short_positive_n,short_positive_pct,short_net_p25_usd,short_net_median_usd,short_net_p75_usd,short_mfe_p25_usd,short_mfe_median_usd,short_mfe_p75_usd,short_mae_p25_usd,short_mae_median_usd,short_mae_p75_usd
10m,P3_UNWINDING,300,OK,1,0,0.0,-17.77,-17.77,-17.77,-17.754,-17.754,-17.754,-19.883,-19.883,-19.883,0,0.0,-19.247,-19.247,-19.247,-16.868,-16.868,-16.868,-19.773,-19.773,-19.773
10m,P3_UNWINDING,600,OK,1,0,0.0,-20.121,-20.121,-20.121,-15.852,-15.852,-15.852,-61.876,-61.876,-61.876,0,0.0,-18.052,-18.052,-18.052,25.028,25.028,25.028,-19.773,-19.773,-19.773
10m,P4_BUILDING,180,OK,3,0,0.0,-21.891,-17.087,-10.9355,-12.809000000000001,-10.321,-7.5525,-52.169,-35.818,-31.307499999999997,0,0.0,-28.697000000000003,-22.346,-17.376,-6.7995,-2.44,13.2165,-32.0805,-29.112,-26.9075
10m,P4_BUILDING,300,OK,3,0,0.0,-31.171,-27.988,-21.758,-12.809000000000001,-10.321,-6.109,-52.169,-35.818,-31.903999999999996,0,0.0,-17.383000000000003,-10.861,-8.2535,-6.209499999999999,-2.44,13.2165,-33.4955,-29.112,-26.9075
10m,P4_BUILDING,600,OK,3,0,0.0,-60.16499999999999,-37.879,-32.3005,-8.597,-1.897,3.6179999999999994,-61.5255,-40.0,-39.077,1,33.333333333333336,-6.4805,-2.121,20.607499999999998,0.31000000000000005,2.06,23.2925,-42.8765,-37.879,-31.290999999999997
10m,P4_UNWINDING,180,OK,5,0,0.0,-51.246,-33.574,-27.028,-21.768,-20.0,-12.086,-51.799,-38.369,-37.373,2,40.0,-20.972,-5.462,3.246,-10.627,-0.42,4.082,-34.456,-25.446,-24.0
10m,P4_UNWINDING,300,OK,4,0,0.0,-40.66775,-25.936,-18.10275,-17.55375,-14.1175,-0.9587500000000002,-58.595749999999995,-53.614000000000004,-48.58025,1,25.0,-22.712,-13.2705,-0.4355000000000002,5.365499999999999,12.05,18.82525,-44.011,-30.128,-24.828500000000002
10m,P4_UNWINDING,300,QUOTE_GAP,1,0,0.0,-47.927,-47.927,-47.927,-24.0,-24.0,-24.0,-66.163,-66.163,-66.163,0,0.0,-0.073,-0.073,-0.073,21.771,21.771,21.771,-24.0,-24.0,-24.0
10m,P4_UNWINDING,600,OK,5,0,0.0,-48.402,-37.889,-19.788,-21.768,-16.149,-0.88,-71.652,-66.163,-51.986,2,40.0,-20.212,-1.755,1.686,7.794,21.771,28.181,-45.515,-25.446,-24.0
10m,P5_BUILDING,180,OK,3,0,0.0,-54.650000000000006,-32.246,-16.916,-19.7695,-19.563,29.820499999999996,-76.11,-36.916,-27.136499999999998,1,33.333333333333336,-21.0795,-6.402,15.8565,-9.4575,-1.572,37.0815,-68.2615,-19.976,-19.773
10m,P5_BUILDING,300,OK,3,2,66.66666666666667,-31.554499999999997,7.56,31.64,-5.2695,9.024,47.0815,-76.11,-36.916,-27.136499999999998,1,33.333333333333336,-69.94550000000001,-46.828,-7.864000000000001,-9.4575,-1.572,37.0815,-84.0525,-46.876,-33.223
10m,P5_BUILDING,600,OK,2,1,50.0,-40.074749999999995,35.109500000000004,110.29374999999999,32.108000000000004,83.77900000000001,135.45000000000002,-104.82874999999999,-75.6715,-46.51425,1,50.0,-147.869,-72.917,2.0349999999999966,10.874750000000002,39.0925,67.31025,-172.936,-121.814,-70.692
10m,P5_BUILDING,600,QUOTE_GAP,1,1,100.0,2.625,2.625,2.625,57.445,57.445,57.445,-36.916,-36.916,-36.916,0,0.0,-41.32,-41.32,-41.32,-1.572,-1.572,-1.572,-95.984,-95.984,-95.984
10m,P5_UNWINDING,180,OK,2,1,50.0,-6.752999999999999,-0.9669999999999996,4.819000000000001,-1.7202499999999996,2.4285000000000005,6.577250000000001,-18.470750000000002,-18.4265,-18.38225,0,0.0,-42.554249999999996,-36.4815,-30.408749999999998,-18.10775,-18.0505,-17.99325,-43.90225,-38.9135,-33.924749999999996
10m,P5_UNWINDING,300,OK,1,1,100.0,10.626,10.626,10.626,10.953,10.953,10.953,-18.338,-18.338,-18.338,0,0.0,-48.627,-48.627,-48.627,-18.165,-18.165,-18.165,-49.118,-49.118,-49.118
10m,P5_UNWINDING,300,QUOTE_GAP,1,0,0.0,-16.65,-16.65,-16.65,-5.869,-5.869,-5.869,-18.515,-18.515,-18.515,0,0.0,-19.036,-19.036,-19.036,-17.936,-17.936,-17.936,-28.936,-28.936,-28.936
10m,P5_UNWINDING,600,OK,2,1,50.0,-16.254250000000003,-9.0455,-1.8367500000000003,-0.9517499999999997,3.9655000000000005,8.882750000000001,-23.319499999999998,-21.659,-19.9985,0,0.0,-35.53675,-27.5365,-19.53625,-16.507749999999998,-14.8505,-13.193249999999999,-45.831250000000004,-40.1995,-34.56775
10m,P6_BUILDING,180,OK,2,1,50.0,9.009250000000002,33.7695,58.52975,20.6965,51.387,82.07749999999999,-27.83875,-25.1215,-22.40425,0,0.0,-98.25025,-73.2105,-48.17075,-15.6345,-13.219999999999999,-10.8055,-121.58274999999999,-90.6845,-59.786249999999995
10m,P6_BUILDING,300,OK,2,1,50.0,27.485,58.481,89.47699999999999,33.022749999999995,68.98849999999999,104.95425,-27.83875,-25.1215,-22.40425,0,0.0,-128.954,-97.52000000000001,-66.086,-15.6345,-13.219999999999999,-10.8055,-144.589,-108.258,-71.92699999999999
10m,P6_BUILDING,600,OK,2,2,100.0,42.27575,71.7705,101.26525,52.714749999999995,92.2815,131.84825,-27.83875,-25.1215,-22.40425,0,0.0,-140.42025,-110.83449999999999,-81.24875,-15.6345,-13.219999999999999,-10.8055,-171.12025,-131.3175,-91.51475
10m,P6_UNWINDING,180,OK,3,1,33.333333333333336,-37.01,-19.656,-9.375,-18.3905,-18.083,-8.549999999999999,-39.6115,-24.258,-24.1175,1,33.333333333333336,-33.558499999999995,-27.86,-5.718,-18.427500000000002,-14.855,0.7844999999999995,-34.0145,-28.617,-23.7945
10m,P6_UNWINDING,300,OK,3,1,33.333333333333336,-42.673,-13.207,-5.1485,-8.8575,0.983,2.4755,-48.3835,-24.258,-24.1175,1,33.333333333333336,-37.706,-24.964,4.236000000000001,-18.427500000000002,-14.855,9.475499999999998,-45.211,-39.412,-29.192
10m,P6_UNWINDING,600,OK,3,1,33.333333333333336,-46.62,-5.419,0.09650000000000025,-5.7945,7.109,13.628,-76.93900000000001,-24.258,-24.1175,1,33.333333333333336,-41.929,-40.491,4.313500000000001,-17.729,-13.458,39.037,-56.25449999999999,-45.65,-32.311
10m,P7_BUILDING,180,OK,3,0,0.0,-24.893,-10.74,-6.9565,-6.905,1.25,28.8155,-40.69499999999999,-40.349,-31.967999999999996,1,33.333333333333336,-32.7,-29.26,-13.735000000000001,-6.872,1.728,3.2805,-68.2445,-40.108,-31.843999999999998
10m,P7_BUILDING,300,OK,2,1,50.0,-26.39325,-17.4375,-8.48175,2.80025,20.6605,38.52075,-37.5975,-33.054,-28.5105,0,0.0,-31.17825,-21.882499999999997,-12.586749999999999,-9.69725,-4.8205,0.05624999999999991,-78.18075,-59.9805,-41.780249999999995
10m,P7_BUILDING,600,OK,2,1,50.0,-11.740250000000003,-0.01750000000000007,11.705250000000001,2.80025,20.6605,38.52075,-81.8665,-72.975,-64.0835,0,0.0,-50.63775,-38.817499999999995,-26.99725,25.914250000000003,34.1955,42.47675,-78.18075,-59.9805,-41.780249999999995
10m,P7_UNWINDING,180,OK,1,0,0.0,-48.7,-48.7,-48.7,-19.96,-19.96,-19.96,-52.174,-52.174,-52.174,1,100.0,10.175,10.175,10.175,13.966,13.966,13.966,-19.998,-19.998,-19.998
10m,P7_UNWINDING,300,OK,1,0,0.0,-64.852,-64.852,-64.852,-19.96,-19.96,-19.96,-75.263,-75.263,-75.263,1,100.0,24.854,24.854,24.854,36.029,36.029,36.029,-19.998,-19.998,-19.998
10m,P7_UNWINDING,600,OK,1,0,0.0,-70.868,-70.868,-70.868,-19.96,-19.96,-19.96,-75.263,-75.263,-75.263,1,100.0,30.87,30.87,30.87,36.029,36.029,36.029,-19.998,-19.998,-19.998
10m,P8_BUILDING,180,OK,10,2,20.0,-27.63925,-17.009,-9.2775,-17.87725,-10.683,4.792000000000001,-34.76175,-26.832,-21.06325,2,20.0,-31.77725,-23.4835,-11.795749999999998,-19.482,-12.518,-6.111,-44.47924999999999,-31.484,-22.4685
10m,P8_BUILDING,300,OK,11,3,27.272727272727273,-26.1045,-19.841,8.0235,-7.4135,6.799,19.9555,-69.7525,-32.454,-24.6555,2,18.181818181818183,-51.378,-20.159,-13.67,-16.855,-6.492,29.798,-62.31999999999999,-46.382,-31.7765
10m,P8_BUILDING,600,OK,11,2,18.181818181818183,-65.713,-32.936,-10.8635,-1.4554999999999998,8.113,34.521,-101.1325,-44.896,-35.197,4,36.36363636363637,-35.1755,-5.675,27.3905,-5.3765,5.754,61.158500000000004,-76.26650000000001,-47.883,-38.546
10m,P8_MISSING,180,OK,1,0,0.0,-55.613,-55.613,-55.613,-7.207,-7.207,-7.207,-91.768,-91.768,-91.768,1,100.0,16.982,16.982,16.982,54.402,54.402,54.402,-31.424,-31.424,-31.424
10m,P8_MISSING,180,QUOTE_GAP,1,0,0.0,-89.55,-89.55,-89.55,-1.349,-1.349,-1.349,-120.131,-120.131,-120.131,1,100.0,51.025,51.025,51.025,81.55,81.55,81.55,-37.232,-37.232,-37.232
10m,P8_MISSING,300,OK,2,0,0.0,-73.05625,-66.8205,-60.58475,-5.7425,-4.278,-2.8135,-113.04025000000001,-105.9495,-98.85874999999999,2,100.0,21.96625,28.2145,34.46275,61.18900000000001,67.976,74.76299999999999,-35.78,-34.328,-32.876
10m,P8_MISSING,600,OK,2,0,0.0,-54.3015,-38.231,-22.1605,0.5097499999999999,1.7395,2.9692499999999997,-122.04175000000001,-111.9505,-101.85925,1,50.0,-15.79325,0.05149999999999899,15.896249999999998,64.40575000000001,74.40950000000001,84.41324999999999,-41.56275,-40.3455,-39.12825
10m,P8_UNWINDING,180,OK,9,2,22.22222222222222,-21.409,-8.462,-0.778,-9.27,-3.53,2.755,-30.476,-24.477,-23.235,1,11.11111111111111,-40.87,-30.193,-18.244,-18.79,-14.987,-6.516,-47.463,-35.125,-30.214
10m,P8_UNWINDING,300,OK,9,3,33.333333333333336,-21.293,-4.992,0.521,1.221,3.362,15.877,-32.235,-29.951,-23.459,0,0.0,-40.462,-33.663,-25.521,-17.18,-13.835,-5.755,-58.478,-44.242,-42.017
10m,P8_UNWINDING,600,OK,8,3,37.5,-25.639499999999998,-9.2485,13.171750000000001,10.23975,17.177500000000002,36.40925,-40.898250000000004,-32.6375,-27.687,0,0.0,-51.047000000000004,-35.381,-15.49575,-14.67125,-10.128,-2.55725,-80.29575,-59.6,-49.8015
5m,P1_BUILDING,180,OK,15,4,26.666666666666668,-36.1325,-17.571,1.8295,-16.952,-2.677,27.8595,-42.4975,-36.288,-23.789,4,26.666666666666668,-40.650000000000006,-23.145,-1.5335,-15.485,-6.564,6.0285,-65.762,-36.185,-23.8185
5m,P1_BUILDING,300,OK,14,6,42.857142857142854,-30.52875,-12.0445,6.40925,-13.01025,7.3004999999999995,21.5745,-44.019749999999995,-38.977,-31.732499999999998,1,7.142857142857143,-45.61775,-27.130000000000003,-7.9719999999999995,-7.846499999999999,-1.037,6.65125,-60.037000000000006,-45.2385,-26.77825
5m,P1_BUILDING,300,QUOTE_GAP,1,0,0.0,-24.227,-24.227,-24.227,30.593,30.593,30.593,-24.227,-24.227,-24.227,0,0.0,-13.784,-13.784,-13.784,-13.784,-13.784,-13.784,-68.448,-68.448,-68.448
5m,P1_BUILDING,600,OK,10,3,30.0,-22.963750000000005,-17.157,1.53075,-13.01025,7.4925,45.438750000000006,-61.01050000000001,-46.339,-39.05625,2,20.0,-40.684749999999994,-21.213,-15.79575,0.9105000000000001,7.6965,23.4815,-84.8835,-45.2065,-26.77825
5m,P1_BUILDING,600,QUOTE_GAP,2,1,50.0,-38.9595,-25.098,-11.2365,-2.5250000000000004,17.465,37.455,-104.37475,-81.8885,-59.402249999999995,1,50.0,-29.1655,-17.011,-4.8565000000000005,19.744500000000002,41.061,62.3775,-78.00225,-60.0205,-42.03874999999999
5m,P1_MISSING,180,OK,1,0,0.0,-87.876,-87.876,-87.876,35.142,35.142,35.142,-89.493,-89.493,-89.493,1,100.0,47.876,47.876,47.876,49.662,49.662,49.662,-73.6,-73.6,-73.6
5m,P1_MISSING,300,OK,1,0,0.0,-183.673,-183.673,-183.673,35.142,35.142,35.142,-191.827,-191.827,-191.827,1,100.0,143.673,143.673,143.673,151.827,151.827,151.827,-73.6,-73.6,-73.6
5m,P1_MISSING,600,OK,1,0,0.0,-41.787,-41.787,-41.787,35.142,35.142,35.142,-194.229,-194.229,-194.229,1,100.0,1.813,1.813,1.813,155.282,155.282,155.282,-73.6,-73.6,-73.6
