timeframe,context_code,horizon_sec,status,n,long_positive_n,long_positive_pct,long_net_p25_usd,long_net_median_usd,long_net_p75_usd,long_mfe_p25_usd,long_mfe_median_usd,long_mfe_p75_usd,long_mae_p25_usd,long_mae_median_usd,long_mae_p75_usd,short_positive_n,short_positive_pct,short_net_p25_usd,short_net_median_usd,short_net_p75_usd,short_mfe_p25_usd,short_mfe_median_usd,short_mfe_p75_usd,short_mae_p25_usd,short_mae_median_usd,short_mae_p75_usd
5m,P4_BUILDING,600,OK,4,1,25.0,-47.69425,-38.765,-24.245,-22.29675,-8.6195,9.75525,-65.00325,-50.089,-36.51875,1,25.0,-14.581,-4.547499999999999,0.26624999999999943,-2.788,6.2065,18.158,-49.20375,-34.6315,-25.113750000000003
5m,P4_MISSING,180,OK,1,1,100.0,83.29,83.29,83.29,112.768,112.768,112.768,-30.556,-30.556,-30.556,0,0.0,-123.29,-123.29,-123.29,-8.391,-8.391,-8.391,-152.481,-152.481,-152.481
5m,P4_MISSING,300,OK,1,1,100.0,120.473,120.473,120.473,140.92,140.92,140.92,-30.556,-30.556,-30.556,0,0.0,-160.388,-160.388,-160.388,-8.391,-8.391,-8.391,-180.92,-180.92,-180.92
5m,P4_MISSING,600,OK,1,1,100.0,130.76,130.76,130.76,171.415,171.415,171.415,-30.556,-30.556,-30.556,0,0.0,-170.006,-170.006,-170.006,-8.391,-8.391,-8.391,-210.923,-210.923,-210.923
5m,P4_UNWINDING,180,OK,11,2,18.181818181818183,-54.578500000000005,-28.912,-8.9325,-17.886499999999998,-10.321,7.3385,-56.8005,-35.818,-27.073999999999998,5,45.45454545454545,-37.418,-17.697,8.4155,-17.918,-2.44,9.436,-47.132,-29.509,-26.633499999999998
5m,P4_UNWINDING,300,OK,10,1,10.0,-35.310249999999996,-23.348,-15.489749999999999,-15.532749999999998,-5.8525,7.7837499999999995,-59.4405,-37.678,-30.01375,2,20.0,-30.505249999999997,-21.7845,-9.318249999999999,-13.277249999999999,-3.0915,14.336750000000002,-47.5785,-37.560500000000005,-29.1925
5m,P4_UNWINDING,300,QUOTE_GAP,1,0,0.0,-47.927,-47.927,-47.927,-24.0,-24.0,-24.0,-66.163,-66.163,-66.163,0,0.0,-0.073,-0.073,-0.073,21.771,21.771,21.771,-24.0,-24.0,-24.0
5m,P4_UNWINDING,600,OK,10,0,0.0,-44.169000000000004,-28.0135,-21.219,-5.86125,9.322,12.742500000000001,-65.541,-42.5045,-39.74425,3,30.0,-21.007999999999996,-13.4145,-1.3715000000000002,-4.7517499999999995,2.1315,24.3165,-56.7405,-50.0265,-34.044000000000004
5m,P4_UNWINDING,600,QUOTE_GAP,1,0,0.0,-64.318,-64.318,-64.318,-23.845,-23.845,-23.845,-82.554,-82.554,-82.554,1,100.0,16.318,16.318,16.318,38.162,38.162,38.162,-24.155,-24.155,-24.155
5m,P5_BUILDING,180,OK,9,2,22.22222222222222,-61.824,-11.093,-0.244,-8.281,2.677,44.524,-69.815,-38.306,-29.98,3,33.333333333333336,-38.313,-27.992,18.59,-7.751,-0.856,23.377,-82.09,-42.383,-28.864
5m,P5_BUILDING,300,OK,8,2,25.0,-54.63975000000001,-17.490000000000002,-0.7349999999999999,-0.0625,33.46,56.40575,-76.23725,-54.161500000000004,-28.5735,3,37.5,-37.738,-21.668,9.92025,-9.32525,12.042499999999999,36.92375,-94.82925,-72.51400000000001,-39.00325
