source_dataset,sample_scope,direction_class,hypothesis,state,window_sec,horizon_sec,n,match_n,mismatch_n,flat_n,match_pct,flat_pct,raw_mean_bps,raw_p05_bps,raw_p25_bps,raw_median_bps,raw_p75_bps,raw_p95_bps,signed_mean_bps,signed_p05_bps,signed_p25_bps,signed_median_bps,signed_p75_bps,signed_p95_bps
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,60,936,507,411,18,54.166666666666664,1.9230769230769231,0.3133554069230764,-6.1185219775,-1.853817495,0.30845356,2.3754010225,7.636435067500001,0.3133554069230764,-6.1185219775,-1.853817495,0.30845356,2.3754010225,7.636435067500001
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,910,466,443,1,51.20879120879121,0.10989010989010989,-0.0012274645714290765,-11.29163663,-4.03517827,0.07810781,4.152094225,11.276338737499998,-0.0012274645714290765,-11.29163663,-4.03517827,0.07810781,4.152094225,11.276338737499998
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,889,446,441,2,50.168728908886386,0.2249718785151856,-0.1702436124971886,-14.792526826,-4.65201971,0.03076294,5.45417113,14.656229085999993,-0.1702436124971886,-14.792526826,-4.65201971,0.03076294,5.45417113,14.656229085999993
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,854,443,411,0,51.87353629976581,0.0,-0.3346072576463708,-22.784547944,-5.753807299999999,0.42998303,7.389971300000001,22.73574644549999,-0.3346072576463708,-22.784547944,-5.753807299999999,0.42998303,7.389971300000001,22.73574644549999
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,756,412,325,19,54.4973544973545,2.513227513227513,0.39892826751322796,-5.332480905000001,-1.704626825,0.30160643,2.1338212700000003,7.23119198,0.39892826751322796,-5.332480905000001,-1.704626825,0.30160643,2.1338212700000003,7.23119198
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,739,374,363,2,50.60893098782138,0.2706359945872801,0.43315646311231387,-9.05959167,-2.79812502,0.07707034,3.829500045,11.184994512000001,0.43315646311231387,-9.05959167,-2.79812502,0.07707034,3.829500045,11.184994512000001
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,300,724,364,358,2,50.27624309392265,0.27624309392265195,0.34387903578729373,-10.940415287,-3.9906748175000004,0.09277644,4.5272852125,12.8626472335,0.34387903578729373,-10.940415287,-3.9906748175000004,0.09277644,4.5272852125,12.8626472335
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,600,699,348,351,0,49.78540772532189,0.0,0.3599621704005728,-16.723831822,-4.99539081,-0.01567401,5.943531275,22.289119613000004,0.3599621704005728,-16.723831822,-4.99539081,-0.01567401,5.943531275,22.289119613000004
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,60,390,209,167,14,53.58974358974359,3.58974358974359,0.22020681841025644,-5.388103319499999,-1.4902433099999999,0.20219957,1.78236449,5.525162754999982,0.22020681841025644,-5.388103319499999,-1.4902433099999999,0.20219957,1.78236449,5.525162754999982
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,180,384,202,181,1,52.604166666666664,0.2604166666666667,0.14013202619791656,-9.967801443499997,-2.6373395925,0.38801612,3.3497006974999994,9.197535548999987,0.14013202619791656,-9.967801443499997,-2.6373395925,0.38801612,3.3497006974999994,9.197535548999987
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,300,376,182,194,0,48.40425531914894,0.0,-0.29345415837765937,-11.75359894,-3.72476916,-0.17163593,3.5092454474999997,11.6303122325,-0.29345415837765937,-11.75359894,-3.72476916,-0.17163593,3.5092454474999997,11.6303122325
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,600,366,190,176,0,51.91256830601093,0.0,-0.36684677106557423,-19.8626948525,-4.7516329625000004,0.233947335,4.5951406325,22.65868157,-0.36684677106557423,-19.8626948525,-4.7516329625000004,0.233947335,4.5951406325,22.65868157
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,60,285,131,146,8,45.96491228070175,2.807017543859649,0.04098244849122795,-4.996646958,-1.44703614,-0.01558846,1.24696636,4.999439944000001,0.04098244849122795,-4.996646958,-1.44703614,-0.01558846,1.24696636,4.999439944000001
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,180,283,145,138,0,51.236749116607776,0.0,0.1785277774204947,-9.708883171999997,-1.7101041700000001,0.1717293,2.8193022450000003,8.911530947999998,0.1785277774204947,-9.708883171999997,-1.7101041700000001,0.1717293,2.8193022450000003,8.911530947999998
NEW_05M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,300,277,135,137,5,48.73646209386282,1.8050541516245486,-0.2815725225270759,-10.70802831,-3.28471747,0.0,2.41982193,10.653409469999996,-0.2815725225270759,-10.70802831,-3.28471747,0.0,2.41982193,10.653409469999996
