source_dataset,direction_class,hypothesis,state,window_sec,horizon_sec,oi_context,n,match_pct,signed_mean_bps,signed_median_bps
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,600,STALE,15,100.0,15.218478384,12.04557936
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,600,UNWINDING,174,45.97701149425287,-0.987629486954023,-0.5591912800000001
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,60,BUILDING,145,47.58620689655172,0.06252637393103432,0.0
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,60,STALE,5,20.0,-1.8593813559999997,-0.87501914
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,60,UNWINDING,135,45.18518518518518,0.08822652133333331,-0.01560023
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,180,BUILDING,144,49.30555555555556,-0.429509142638889,-0.05380982
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,180,STALE,5,40.0,-0.7757695340000004,-0.32813218
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,180,UNWINDING,134,53.73134328358209,0.8675486956716424,0.28437750500000003
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,300,BUILDING,143,40.55944055944056,-1.0278355434965045,-1.07870649
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,300,STALE,5,60.0,3.5412979219999996,2.53130537
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,300,UNWINDING,129,57.36434108527132,0.397507010620155,0.49947867
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,600,BUILDING,140,46.42857142857143,-1.6708955717857144,-1.302364325
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,600,STALE,5,60.0,9.909945019999999,2.68755879
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,600,UNWINDING,127,51.968503937007874,0.1440858131496063,0.06243454
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,60,BUILDING,36,38.888888888888886,-0.4608953625000001,-0.06179345
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,60,STALE,2,0.0,-4.21171718,-4.21171718
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,60,UNWINDING,50,36.0,-0.3658539972,-0.015607935
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,180,BUILDING,34,55.88235294117647,0.7878978273529412,0.10910781500000001
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,180,STALE,2,0.0,-5.479843705,-5.479843705
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,180,UNWINDING,49,38.775510204081634,-0.15750704020408177,-0.50002656
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,300,BUILDING,34,58.8235294117647,1.7640312332352943,1.14741478
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,300,STALE,2,100.0,0.53799307,0.53799307
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,300,UNWINDING,49,63.265306122448976,0.6781101155102037,0.71696878
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,600,BUILDING,30,63.333333333333336,3.9818617809999997,2.99874199
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,600,STALE,2,0.0,-10.644577185,-10.644577185
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,600,UNWINDING,49,44.89795918367347,-1.0378555093877548,-2.42308642
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,60,BUILDING,12,33.333333333333336,0.21169795749999998,-0.46155844
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,60,UNWINDING,21,42.857142857142854,0.0833788223809524,0.0
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,180,BUILDING,11,27.272727272727273,-0.43685262636363636,-0.98567794
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,180,UNWINDING,21,42.857142857142854,-0.5774006680952382,-0.31203049
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,300,BUILDING,11,36.36363636363637,-1.3536826572727272,-1.67412722
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,300,UNWINDING,21,52.38095238095238,-0.4849141757142859,0.79274036
